snapshot_id,webcam_id,image_path_or_url,target_label,source,llm_quality
102791,28782057,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/28782057/1781385329064.jpg,1,webcam,0.5
70337,6148965,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1771132068948.jpg,0,webcam,0.0
86158,16417946,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/16417946/1773509853864.jpg,0,webcam,0.0
89779,15099522,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15099522/1773938792099.jpg,0,webcam,0.0
71406,12621490,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12621490/1771346514423.jpg,0,webcam,0.35
88933,2994347,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2994347/1773739412003.jpg,0,webcam,0.35
67175,3066299,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3066299/1770609941610.jpg,0,webcam,0.55
81376,3593624,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3593624/1773445166134.jpg,0,webcam,0.35
69331,10300,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10300/1770938084501.jpg,0,webcam,0.0
101481,6168685,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6168685/1780997465609.jpg,0,webcam,0.05
68913,11459,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11459/1770861685929.jpg,0,webcam,0.35
105939,38,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/38/1781770574717.jpg,0,webcam,0.4
81526,14108442,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/14108442/1773446727873.jpg,0,webcam,0.45
81638,10509876,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10509876/1773447987094.jpg,0,webcam,0.0
66755,10625875,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10625875/1770395674441.jpg,0,webcam,0.0
93986,7688307,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7688307/1774801053649.jpg,0,webcam,0.55
110076,6156909,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6156909/1782916262664.jpg,0,webcam,0.35
90008,160,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1773992012300.jpg,0,webcam,0.45
78862,1946,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1946/1773128283612.jpg,0,webcam,0.0
