snapshot_id,webcam_id,label_source,label_value,target_label,split,image_path_or_url,phase,captured_at,rating_count,source
119497,2921342,gold,0.75,1,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921342/1785510956063.jpg,sunset,2026-07-31 15:15:56.730318+00:00,0,webcam
119499,2921342,gold,0.25,0,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921342/1785511856675.jpg,sunset,2026-07-31 15:30:57.275457+00:00,0,webcam
119500,2921342,gold,0.75,1,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921342/1785512757937.jpg,sunset,2026-07-31 15:45:58.348952+00:00,0,webcam
119498,5649571,gold,0.75,1,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5649571/1785510963755.jpg,sunset,2026-07-31 15:16:04.165465+00:00,0,webcam
119501,93,gold,0.0,0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/93/1785512765365.jpg,sunset,2026-07-31 15:46:05.717915+00:00,0,webcam
119502,2921342,gold,0.75,1,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921342/1785513716358.jpg,sunset,2026-07-31 16:01:56.725431+00:00,0,webcam
119503,1866,gold,0.0,0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1866/1785513715661.jpg,sunset,2026-07-31 16:01:56.926907+00:00,0,webcam
119504,21846,gold,0.0,0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/21846/1785513718880.jpg,sunset,2026-07-31 16:01:59.348047+00:00,0,webcam
119505,16908885,gold,0.0,0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/16908885/1785513723738.jpg,sunset,2026-07-31 16:02:04.242887+00:00,0,webcam
119506,93,gold,0.0,0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/93/1785513724157.jpg,sunset,2026-07-31 16:02:04.514902+00:00,0,webcam
119507,2921342,gold,0.75,1,test,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921342/1785514562111.jpg,sunset,2026-07-31 16:16:02.930448+00:00,0,webcam
119508,29161789,gold,0.0,0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/29161789/1785514567818.jpg,sunset,2026-07-31 16:16:08.182951+00:00,0,webcam
119509,16908885,gold,0.0,0,train,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/16908885/1785514570133.jpg,sunset,2026-07-31 16:16:10.837432+00:00,0,webcam
