LLM Rater
  Provider: anthropic
  Model: claude-sonnet-4-5
  Source: webcam
  RPM limit: 50
  Download timeout: 30s
  API timeout:      60s
  Skip rated: True
  Write to DB: True
  Dry run: False
  Verbose: False
  Output: ml/artifacts/llm_ratings/ratings_20260507_071316.csv
Connecting to Postgres…
  connected.
  Images to rate: 29611
[1/29611] record 66407: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 8.8s, total 9.1s)
[2/29611] record 66408: q=0.45 sunset=True conf=0.70  (dl 0.3s, api 6.2s, total 6.5s)
[3/29611] record 66409: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[4/29611] record 66410: q=0.35 sunset=True conf=0.70  (dl 0.3s, api 4.0s, total 4.3s)
[5/29611] record 66411: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 2.8s, total 3.1s)
[6/29611] record 66412: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.3s, total 6.4s)
[7/29611] record 66413: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.6s, total 4.8s)
[8/29611] record 66414: q=0.72 sunset=True conf=0.85  (dl 0.3s, api 3.9s, total 4.2s)
[9/29611] record 66415: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.8s, total 3.0s)
[10/29611] record 66416: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.2s)
[11/29611] record 66417: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.0s)
[12/29611] record 66418: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.8s, total 4.0s)
[13/29611] record 66419: q=0.55 sunset=True conf=0.75  (dl 0.3s, api 4.2s, total 4.5s)
[14/29611] record 66420: q=0.55 sunset=True conf=0.75  (dl 0.3s, api 4.7s, total 5.0s)
[15/29611] record 66421: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.5s, total 3.7s)
[16/29611] record 66422: q=0.65 sunset=True conf=0.85  (dl 0.3s, api 4.0s, total 4.3s)
[17/29611] record 66423: q=0.72 sunset=True conf=0.75  (dl 0.2s, api 5.6s, total 5.9s)
[18/29611] record 66424: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 7.1s, total 7.3s)
[19/29611] record 66425: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[20/29611] record 66426: q=0.00 sunset=False conf=0.95  (dl 0.1s, api 3.7s, total 3.8s)
[21/29611] record 66427: q=0.00 sunset=False conf=0.30  (dl 0.3s, api 3.3s, total 3.7s)
[22/29611] record 66428: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.8s)
[23/29611] record 66429: q=0.25 sunset=True conf=0.70  (dl 0.3s, api 3.0s, total 3.3s)
[24/29611] record 66430: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.3s, total 3.5s)
[25/29611] record 66431: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 8.0s, total 8.2s)
[26/29611] record 66432: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 4.0s, total 4.2s)
[27/29611] record 66433: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
