record_id,source_table,webcam_id,image_url,llm_quality,llm_is_sunset,llm_confidence,llm_has_clouds,llm_color_palette,llm_obstruction,llm_model,llm_provider,rated_at,human_calculated_rating,human_rating_count
66507,webcam,11859,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11859/1770079122870.jpg,0.72,True,0.9,True,"golden orange, warm peach, deep blue-gray, soft purple",,claude-sonnet-4-5,anthropic,2026-05-06T06:47:08.588746+00:00,4.00,1
66508,webcam,10427825,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10427825/1770079130875.jpg,0.45,True,0.85,True,"soft orange, pale yellow, light blue gradient",,claude-sonnet-4-5,anthropic,2026-05-06T06:47:13.205947+00:00,3.00,1
66509,webcam,6883389,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6883389/1770079137990.jpg,0.45,True,0.8,True,muted orange and peach tones blending into blue-gray sky,,claude-sonnet-4-5,anthropic,2026-05-06T06:47:17.587749+00:00,2.00,1
66510,webcam,10264687,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10264687/1770079146877.jpg,0.45,True,0.75,False,golden yellow transitioning to deep blue-gray,,claude-sonnet-4-5,anthropic,2026-05-06T06:47:21.896445+00:00,1.00,1
66511,webcam,8252318,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8252318/1770079165285.jpg,0.72,True,0.9,True,"golden orange, deep blue, purple-gray with warm highlights",,claude-sonnet-4-5,anthropic,2026-05-06T06:47:26.376269+00:00,2.00,1
66512,webcam,10472220,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10472220/1770080282142.jpg,0.72,True,0.85,False,warm golden orange transitioning to soft blue-gray,,claude-sonnet-4-5,anthropic,2026-05-06T06:47:31.103734+00:00,3.00,1
66513,webcam,320,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/320/1770140338114.jpg,0.55,True,0.85,True,"soft orange, yellow, and gray with muted pastels",,claude-sonnet-4-5,anthropic,2026-05-06T06:47:36.017718+00:00,3.00,1
66514,webcam,3798295,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3798295/1770140358048.jpg,0.45,True,0.75,False,"orange, yellow, teal blue gradient",fog,claude-sonnet-4-5,anthropic,2026-05-06T06:47:40.525636+00:00,5.00,1
66515,webcam,15293,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15293/1770140368623.jpg,0.25,True,0.75,True,"gray, muted yellow, pale orange",fog,claude-sonnet-4-5,anthropic,2026-05-06T06:47:45.472273+00:00,5.00,1
66516,webcam,10264687,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10264687/1770140381704.jpg,0.0,False,0.95,True,"dark gray, overcast, monochromatic",,claude-sonnet-4-5,anthropic,2026-05-06T06:47:49.536298+00:00,3.00,1
66517,webcam,10303154,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10303154/1770144656711.jpg,0.45,True,0.75,False,pale orange and yellow gradient fading to teal-blue,,claude-sonnet-4-5,anthropic,2026-05-06T06:47:54.529066+00:00,5.00,1
66518,webcam,10491202,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10491202/1770144662450.jpg,0.78,True,0.92,True,"soft pink, lavender, peach, and purple hues",,claude-sonnet-4-5,anthropic,2026-05-06T06:47:59.266839+00:00,5.00,1
66519,webcam,15293,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15293/1770144666728.jpg,0.25,True,0.7,False,"pale blue, white, muted gray",fog,claude-sonnet-4-5,anthropic,2026-05-06T06:48:03.579200+00:00,1.00,1
66520,webcam,97,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/97/1770144669759.jpg,0.0,False,0.95,True,"deep blue, monochromatic blue tones",,claude-sonnet-4-5,anthropic,2026-05-06T06:48:07.699061+00:00,1.00,1
66521,webcam,10344965,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10344965/1770144672518.jpg,0.0,False,0.95,True,"uniform gray, overcast",,claude-sonnet-4-5,anthropic,2026-05-06T06:48:13.319781+00:00,1.00,1
66522,webcam,8320770,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8320770/1770144674559.jpg,0.0,False,0.95,False,uniform gray-blue overcast,fog,claude-sonnet-4-5,anthropic,2026-05-06T06:48:18.209483+00:00,1.00,1
66523,webcam,10435750,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10435750/1770144677599.jpg,0.0,False,0.95,False,"dull gray-blue, overcast winter tones",,claude-sonnet-4-5,anthropic,2026-05-06T06:48:22.303071+00:00,1.00,1
66524,webcam,3160750,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3160750/1770144679766.jpg,0.0,False,0.95,False,"gray, white, muted purple tones",motion blur,claude-sonnet-4-5,anthropic,2026-05-06T06:48:26.971728+00:00,1.00,1
66526,webcam,2921351,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921351/1770144683885.jpg,0.0,False,0.95,False,pale gray-white overcast sky,,claude-sonnet-4-5,anthropic,2026-05-06T06:48:42.684053+00:00,1.00,1
66527,webcam,861454,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/861454/1770144686442.jpg,0.35,True,0.75,True,muted gray-blue with pale yellow-orange glow near horizon,,claude-sonnet-4-5,anthropic,2026-05-06T06:48:47.605065+00:00,1.00,1
66528,webcam,312,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/312/1770144691652.jpg,0.45,True,0.8,True,"pale blue, soft gray, muted pink and peach tones",,claude-sonnet-4-5,anthropic,2026-05-06T06:48:52.413480+00:00,2.00,1
66529,webcam,2923203,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2923203/1770144694100.jpg,0.45,True,0.75,True,muted blue-gray with soft pink and orange tones,rain on lens,claude-sonnet-4-5,anthropic,2026-05-06T06:48:57.449367+00:00,1.00,1
66530,webcam,620045,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/620045/1770144696289.jpg,0.0,False,0.95,False,"completely dark, no visible colors",,claude-sonnet-4-5,anthropic,2026-05-06T06:49:02.087248+00:00,1.00,1
66531,webcam,85453,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/85453/1770144701495.jpg,0.0,False,0.95,False,"dark gray, black",fog,claude-sonnet-4-5,anthropic,2026-05-06T06:49:06.950819+00:00,1.00,1
66532,webcam,1336,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1336/1770144708930.jpg,0.72,True,0.85,True,"warm golden yellows, soft oranges, pale blues, and pink highlights",,claude-sonnet-4-5,anthropic,2026-05-06T06:49:11.971848+00:00,5.00,1
66533,webcam,2936050,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2936050/1770144712375.jpg,0.55,True,0.8,True,"soft peach, pale gold, light blue-gray with white clouds",,claude-sonnet-4-5,anthropic,2026-05-06T06:49:16.986727+00:00,1.00,1
66534,webcam,8415550,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8415550/1770144714931.jpg,0.0,False,1.0,False,gray placeholder background,image unavailable,claude-sonnet-4-5,anthropic,2026-05-06T06:49:21.821156+00:00,1.00,1
66535,webcam,2945090,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2945090/1770144720300.jpg,0.45,True,0.75,True,"soft blue, pale pink, lavender, light purple",,claude-sonnet-4-5,anthropic,2026-05-06T06:49:29.273682+00:00,2.00,1
66536,webcam,12586,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12586/1770144723819.jpg,0.35,True,0.8,True,Deep blue and dark gray with subtle orange-pink glow on horizon,,claude-sonnet-4-5,anthropic,2026-05-06T06:49:33.632414+00:00,1.00,1
66537,webcam,16934,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/16934/1770144726772.jpg,0.0,False,0.95,True,overcast gray and white with pale blue,,claude-sonnet-4-5,anthropic,2026-05-06T06:49:38.867449+00:00,1.00,1
66538,webcam,5080592,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5080592/1770144735794.jpg,0.0,False,0.95,False,"pale blue and white, overcast hazy sky",fog,claude-sonnet-4-5,anthropic,2026-05-06T06:49:43.918657+00:00,1.00,1
66539,webcam,7648523,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7648523/1770144738465.jpg,0.0,False,0.95,False,uniform gray overcast,,claude-sonnet-4-5,anthropic,2026-05-06T06:49:48.866562+00:00,1.00,1
66540,webcam,4756,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4756/1770144877644.jpg,0.62,True,0.85,True,"Soft pastels with pale blue, peach, and golden yellow tones",,claude-sonnet-4-5,anthropic,2026-05-06T06:49:53.440648+00:00,4.00,1
66541,webcam,4171194,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4171194/1770145001489.jpg,0.45,True,0.75,False,"soft orange and peach tones on mountains, gradient to blue-gray sky",,claude-sonnet-4-5,anthropic,2026-05-06T06:49:57.722010+00:00,3.00,1
66542,webcam,10300,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10300/1770145008864.jpg,0.35,True,0.8,False,pale orange and peach near horizon fading to gray-blue,,claude-sonnet-4-5,anthropic,2026-05-06T06:50:02.658108+00:00,3.00,1
66543,webcam,10303154,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10303154/1770148745981.jpg,0.45,True,0.85,False,"pale yellow, orange, and teal gradient",,claude-sonnet-4-5,anthropic,2026-05-06T06:50:07.602702+00:00,5.00,1
66544,webcam,4842700,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4842700/1770149232871.jpg,0.45,True,0.85,False,soft orange and yellow gradient fading to pale blue,,claude-sonnet-4-5,anthropic,2026-05-06T06:50:12.693687+00:00,4.00,1
66545,webcam,8701844,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8701844/1770149239006.jpg,0.45,True,0.85,False,"pale yellow, orange gradient fading to gray-blue",,claude-sonnet-4-5,anthropic,2026-05-06T06:50:19.247233+00:00,4.00,1
66546,webcam,2946548,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2946548/1770149249053.jpg,0.45,True,0.85,False,soft orange and peach fading to pale blue,,claude-sonnet-4-5,anthropic,2026-05-06T06:57:11.898804+00:00,4.00,1
66547,webcam,5137840,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5137840/1770149256826.jpg,0.55,True,0.85,True,"Muted pink, peach, and gray-blue tones with dark storm clouds",,claude-sonnet-4-5,anthropic,2026-05-06T06:57:42.223944+00:00,3.00,1
66548,webcam,9728932,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9728932/1770149258868.jpg,0.0,False,0.95,False,"completely dark, black",,claude-sonnet-4-5,anthropic,2026-05-06T06:57:46.943081+00:00,1.00,1
66549,webcam,4589070,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4589070/1770149261198.jpg,0.0,False,0.95,False,"gray, monochromatic, washed out",fog,claude-sonnet-4-5,anthropic,2026-05-06T06:57:51.140542+00:00,1.00,1
66550,webcam,10163488,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10163488/1770149265352.jpg,0.25,True,0.7,True,dark gray and muted blue with minimal warm tones,,claude-sonnet-4-5,anthropic,2026-05-06T06:57:55.340679+00:00,1.00,1
66551,webcam,10162590,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10162590/1770149267234.jpg,0.75,True,0.85,False,bright white sun with grayscale tones due to black and white image,,claude-sonnet-4-5,anthropic,2026-05-06T06:58:00.256308+00:00,1.00,1
66552,webcam,10495330,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10495330/1770149280494.jpg,0.35,True,0.85,False,"pale blue, white, soft yellow-orange near horizon",,claude-sonnet-4-5,anthropic,2026-05-06T06:58:04.352913+00:00,5.00,1
66553,webcam,3798295,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3798295/1770149292027.jpg,0.45,True,0.75,False,teal blue transitioning to warm orange-peach near horizon,,claude-sonnet-4-5,anthropic,2026-05-06T06:58:08.686900+00:00,4.00,1
66554,webcam,301,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/301/1770171566906.jpg,0.35,True,0.75,False,pale orange and blue-gray gradient,,claude-sonnet-4-5,anthropic,2026-05-06T06:58:14.976156+00:00,1.00,1
66555,webcam,400,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/400/1770171577975.jpg,0.35,True,0.75,False,"pale yellow, soft orange, muted beige",rain on lens,claude-sonnet-4-5,anthropic,2026-05-06T06:58:19.298916+00:00,3.00,1
66556,webcam,368,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1770171579450.jpg,0.72,True,0.9,True,"Soft orange, pink, purple, and blue gradient with golden highlights",,claude-sonnet-4-5,anthropic,2026-05-06T06:58:23.499930+00:00,4.00,1
66557,webcam,2923203,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2923203/1770171586296.jpg,0.55,True,0.75,False,soft golden orange and pale blue,rain on lens,claude-sonnet-4-5,anthropic,2026-05-06T06:58:31.893167+00:00,1.00,1
66558,webcam,2922913,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2922913/1770171595543.jpg,0.55,True,0.85,False,"soft orange, peach, and pale blue gradient",,claude-sonnet-4-5,anthropic,2026-05-06T06:58:36.116850+00:00,2.00,1
66559,webcam,2924752,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2924752/1770171598889.jpg,0.0,False,0.95,False,"overcast gray, uniform cloud cover",,claude-sonnet-4-5,anthropic,2026-05-06T07:14:53.307424+00:00,1.00,1
66560,webcam,5649571,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5649571/1770171601141.jpg,0.25,True,0.75,False,pale blue-gray with faint orange glow on horizon,,claude-sonnet-4-5,anthropic,2026-05-06T07:14:57.911669+00:00,1.00,1
66561,webcam,5713644,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5713644/1770171605165.jpg,0.0,False,0.95,True,"overcast gray, uniform cloud cover",,claude-sonnet-4-5,anthropic,2026-05-06T07:15:02.929622+00:00,1.00,1
66562,webcam,8211030,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8211030/1770171608479.jpg,0.0,False,0.95,True,"gray, overcast, muted blue-gray tones",fog,claude-sonnet-4-5,anthropic,2026-05-06T07:15:07.639851+00:00,1.00,1
66563,webcam,333,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/333/1770171612791.jpg,0.0,False,0.95,False,pale blue-gray overcast sky,,claude-sonnet-4-5,anthropic,2026-05-06T07:15:11.985325+00:00,1.00,1
66564,webcam,536,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/536/1770171617152.jpg,0.35,True,0.8,True,"pale orange, gray, muted blue",,claude-sonnet-4-5,anthropic,2026-05-06T07:15:16.038046+00:00,2.00,1
66565,webcam,21846,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/21846/1770171621166.jpg,0.25,True,0.7,False,"pale blue, soft pink-orange gradient near horizon",,claude-sonnet-4-5,anthropic,2026-05-06T07:15:21.159667+00:00,1.00,1
66566,webcam,12451,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12451/1770171627263.jpg,0.45,True,0.75,True,"pale orange, soft yellow, gray-blue gradient",,claude-sonnet-4-5,anthropic,2026-05-06T07:15:25.655774+00:00,4.00,1
66567,webcam,3375326,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3375326/1770177196250.jpg,0.45,True,0.85,False,"pale yellow, white, light gray with muted horizon glow",,claude-sonnet-4-5,anthropic,2026-05-06T07:15:30.170247+00:00,4.00,1
66568,webcam,2926564,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2926564/1770177199707.jpg,0.35,True,0.75,True,muted grays with pale golden-orange glow breaking through clouds,,claude-sonnet-4-5,anthropic,2026-05-06T07:15:34.563355+00:00,1.00,1
