record_id,source_table,image_url,stage,error
60,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/26727360230.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayLN1muqUySNWYV4fYBX'}"
204,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/25177689545.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayN26B1HcFN1YUWuiqw6'}"
236,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/15511987181.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayNPab8jRaQS12UuePrd'}"
247,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/13370819253.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayNWzgRHrCkcRmyKEsZZ'}"
325,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/16289235011.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayPQL2RYLedjU4XFrJG7'}"
331,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/29664686106.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayPUMbnZZt91bimbsAQs'}"
373,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/7074193973.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayPxd9xSJL4MNcf7Jvs7'}"
491,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/2083178793.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayRHAeu3z6iRXM6ZBSZT'}"
552,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/26662823712.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayS1k5FCNnVyMpzzzeYc'}"
563,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/16596865075.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayS9DJ3gq2uVUTdQp31g'}"
598,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/35582421784.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CaySZ1VJWZYbLYcvFsY4m'}"
679,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/35582422464.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayTToBN8kskcPwFU3qMt'}"
786,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/6727830999.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayUgn86ErNYpZ93iRizW'}"
794,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/370092262.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayUnF1zJ3adrN7L6aKSv'}"
820,external,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/12894227723.jpg,llm_api,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Could not process image'}, 'request_id': 'req_011CayV5YzCjAwTj8jRBMjfR'}"
