snapshot_id,webcam_id,is_sunset,rating,day,p_sunset,quality,shown,tile,url
66413,2921329,1,4,2025-11-26,0.8194,0.477,1,0.477,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921329/1764120784465.jpg
66427,4380968,0,,2025-12-01,0.0409,0.6931,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4380968/1764613316532.jpg
66434,3735929,0,,2025-12-01,0.0003,0.2515,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3735929/1764613339256.jpg
66441,2942835,0,,2025-12-01,0.0052,0.479,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2942835/1764613378552.jpg
66482,3092,1,4,2025-12-01,0.9142,0.4221,1,0.4221,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3092/1764618882283.jpg
66486,3800231,0,,2025-12-01,0.505,0.2927,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3800231/1764618899169.jpg
66512,10472220,1,3,2026-02-03,0.9402,0.5854,1,0.5854,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10472220/1770080282142.jpg
66558,2922913,0,,2026-02-04,0.0142,0.3996,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2922913/1770171595543.jpg
66562,8211030,0,,2026-02-04,0.0,0.2076,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8211030/1770171608479.jpg
66609,7007937,0,,2026-02-04,0.0093,0.4846,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7007937/1770187156249.jpg
66614,10523495,0,,2026-02-04,0.0025,0.5492,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10523495/1770187170014.jpg
66623,7363288,0,,2026-02-04,0.1727,0.3357,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7363288/1770242070590.jpg
66625,12586,0,,2026-02-04,0.0,0.2482,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12586/1770242077043.jpg
66650,5713644,0,,2026-02-05,0.0103,0.1689,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5713644/1770256789625.jpg
66691,8120042,0,,2026-02-06,0.0543,0.4411,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8120042/1770358523900.jpg
66705,2977624,1,3,2026-02-06,0.9995,0.5416,1,0.5416,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2977624/1770395355052.jpg
66713,4872732,0,,2026-02-06,0.0015,0.3555,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4872732/1770395389664.jpg
66730,153,0,,2026-02-06,0.267,0.1582,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/153/1770395481624.jpg
66755,10625875,0,,2026-02-06,0.0367,0.1042,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10625875/1770395674441.jpg
66756,10479822,0,,2026-02-06,0.013,0.3431,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10479822/1770395677728.jpg
66768,4579818,0,,2026-02-06,0.0024,0.3012,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4579818/1770395735688.jpg
66782,2964613,0,,2026-02-06,0.0,0.5912,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2964613/1770395810518.jpg
66802,10303154,1,5,2026-02-06,0.997,0.5759,1,0.5759,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10303154/1770398436239.jpg
66806,5179908,1,3,2026-02-06,0.9885,0.482,1,0.482,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5179908/1770400066695.jpg
66814,9776245,0,,2026-02-06,0.0729,0.17,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9776245/1770400115263.jpg
66884,2951173,1,3,2026-02-06,0.9105,0.5157,1,0.5157,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2951173/1770410989589.jpg
66984,8351922,0,,2026-02-07,0.0001,0.629,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8351922/1770427547263.jpg
67081,9705,0,,2026-02-09,0.0001,0.3337,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9705/1770599293420.jpg
67105,12431,0,,2026-02-09,0.002,0.4363,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12431/1770607560110.jpg
67131,2978042,0,,2026-02-09,0.1863,0.645,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2978042/1770607634531.jpg
67175,3066299,1,3,2026-02-09,0.9904,0.5907,1,0.5907,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3066299/1770609941610.jpg
67236,8231821,1,4,2026-02-09,0.9999,0.8003,1,0.8003,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8231821/1770667584873.jpg
